Number,Country,Detailed Locations ,Began,Ended,Duration in Days,Dead,Displaced,Damage (USD),Type,Main cause,Severity index,flooded area,Affected sq km,peak discharge Q,Peak Water level h,Magnitude (M)**,Centroid X,Centroid Y,Notes and Comments (may include quoted headlines from copyrighted news stories; for internal research purposes only),map of flood extent
12,Austria, Towns along the Danube River in northern and western Austria,39983,39988,6,0,0,,riverine flood,Heavy Rain,1,,47134.92,,,5.45149402469303,18.0255,50.1269,"July 16: ""The floods that devastated portions of north Moravia will have a significant effect on the Czech economy over the course of 2009 as billions of crowns in government funds go to environmental and infrastructure recovery, forcing the government to reconsider its previously approved budget, said Finance Minister Eduard Janota.Heavy rainstorms took the north Moravian regions and Olomouc by surprise in the last week of June, killing 13 and leaving vast stretches of roadways and villages underwater in the worst natural disaster in the country since the floods that killed 17 in 2002. The long aftermath of flood recovery will take a heavy toll as well, costing at least 5 billion Kč ($267.4 million), according to Janota, who said flood relief would almost certainly lead to a state deficit of at least 165 billion Kč, or 15 billion Kč more than previous estimates.On June 25, the government announced it would earmark 99 million Kč in flood relief aid to be distributed as soon as possible. It is clear that billions of crowns must be distributed as aid in north Moravia as soon as possible, said Radek Ležatka, spokesman for the Finance Ministry, but just how long and expensive the recovery process will be remains unclear.""June 29:   Warsaw - Prime Minister Donald Tusk said he would find half a billion zloty (155 million dollars) to help victims of the nationwide floods that claimed one victim and damaged hundreds of homes and farms in southern Poland last week. Residents in the region would start receiving aid by late Monday afternoon, Tusk said during his visit to the village of Zawada.'Thank God there weren't any victims (in the area) though the force of the water was very strong,' Tusk said. 'Everyone agrees: the firemen's devotion was extraordinary.'One man drowned Thursday in high waters engulfing the region around the south-eastern town of Ropczyce. Flash floods in the region also claimed 13 lives in the neighbouring Czech Republic"" June 27: "" Prague - Flash floods in the northern Czech Republic claimed a twelfth victim, after a volunteer fireman drowned in the city of Jesenik, local media reported Saturday.This week's flash floods in the eastern Czech Republic killed 11 people, officials said Friday. Rescuers were searching for a missing rafter who was assumed to have drowned in the country's south.In the country's north, as many as 500 soldiers have been deployed as emergency aid workers. Meteorologists fear further rains may worsen the situation over the weekend, ....Firefighters say a man has drowned in floods following heavy rainfalls in southern Poland.Storms and heavy rains this week have swollen rivers in the region, especially the Wielopolka river near the southeastern city of Ropczyce. Firefighter's spokesman Boguslaw Drozd said Friday that a middle-aged man drowned in the area and some 600 people have been evacuated from villages. The man was the first fatality in Poland; at least six people have drowned in flooding in the Czech Republic this week.Images on television showed flooded fields, destroyed bridges and water flowing through streets and a churchyard in Ropczyce.The rains are expected to continue several more days. June 26: ""Firefighters say a man has drowned in floods following heavy rainfalls in southern Poland.Storms and heavy rains this week have swollen rivers in the region, especially the Wielopolka river near the southeastern city of Ropczyce.Firefighter's spokesman Boguslaw Drozd said Friday that a middle-aged man drowned in the area and some 600 people have been evacuated from villages. The man was the first fatality in Poland; at least six people have drowned in flooding in the Czech Republic this week.Images on television showed flooded fields, destroyed bridges and water flowing through streets and a churchyard in Ropczyce.The rains are expected to continue several more days.",
13,Austria,"Upper Austria - Towns: Perg, Linz, Grieskirchen, Schwarzenberg. Danube River
Lower Austria - Towns: Amstetten and Melk
Danube River levels reach 50 year high in southern Hungary and along the border of Croatia and Yugoslavia in late March/early April",37336,37351,16,1,10,,riverine flood,Heavy rain,1,,2640.21,,,4.6257584543038,14.4178,48.2703,"""Authorities evacuated several homes and businesses in low-lying areas along the Danube River on Friday after two days of torrential rains caused widespread flooding in the river valley""
""According to the Hungary Ministry of Transport and Water Management, the river reached its highest levels in 50 years last week ... the worst of the flooding ... took place in southern Hungary and along the border of Croatia and Yugoslavia. Large sections of woodland were mired in water and dozens of people were forced from their homes""CAUSE:Rain",
14,Austria,"Austria - Salzburg
Germany - Bavaria",33452,33456,5,10,0,1000000000,riverine flood,Heavy rain,2,,61648.74,9000 m3/s,,5.78992420474944,13.3528,48.3136,,
15,Austria,"Provinces: Tyrol, Salzburg; Cities: Melk, Branunau Rivers: Danube, Inn, Gars, Gasteiner Ache",31266,31267,2,12,0,,riverine flood,Heavy rain,2,,15151.05,,,4.78250272274084,12.2066,47.3155,"""Authorities said flooding in some areas was the worst in 31 years.""CAUSE:Rain",
16,Belarus,Spring thaw on the Pripyat River and tributaries. ,37702,37746,45,0,0,,riverine flood,Snow Melt,1,,285012.04,,,7.10807572043338,25.203,52.5773,"No news reports. First MODIS observation on March 22, additional data on March 24, 26, 28, and April 2.",
17,Belarus,"Brest, Gomel, Minsk regions",36226,36260,35,0,2000,2277777.77777778,riverine flood,Snowmelt,1,,130388.15,,,6.65930616777484,25.9533,52.406,Excessive spring snow melting ,
18,Belarus,"Belarus - Gomel Region: Petrikov, Zhitkovichi and Leltchitsy districts. Brest Region: Tolin, Luninets and Pinsk districts. Prypyat River. -- Ukraine - Northern areas. Thearea, Rovno.",34175,34193,19,6,42000,180000000,riverine flood,Heavy rain,1,,85364.07,,,6.21002871421558,27.5231,52.3665,"""IN THE THIRD QUARTER OF JULY 1993, BELARUS RECEIVED ABOUT THREE TIMES THE AVERAGE MONTHLY RATE OF RAINFALL""  DAMAGE: Belarus:100,000,000 -- Ukraine: 80,000,000 FATALITIES: 6 DISPLACED: Belarus: 27,000  -- Ukraine: 15,000CAUSE:Heavy rains for 40 days -- HECTARES FLOODED: Belarus: 267,000 Ha  -- Ukraine: 300,000 Ha",
19,Belarus ,Gomel Region ,37010,37012,3,0,0,,riverine flood,Snowmelt,1,,17380.55,,,4.71718477011112,29.032,52.0567,"""Rivers have burst their banks and flooded about 500,000 hectares of winter and spring crops in the Gomel region, south Belarus. Some roads and houses are flooded too. The water rise has stopped. "" CAUSE:Spring floods",
20,Belgium,Large parts of the country,40494,40497,4,3,0,,riverine flood,Heavy Rain,1.5,,8458.94,,,4.70546719486554,4.35761,50.8534,"November 11, 2010: ""At least theree people have died after widespread flooding hit Belgium over the weekend. Although the weather situation is said to be easing, large parts of the country remain underwater.In the Dutch speaking northern region of Flanders, hundreds of people from a town close to Brussels were still unable to go back to their homes Monday morning with concern a levee would give way. One Sint Pieters-Leeuw resident said:’‘We don’t know but they told us the levee near the plant was on the verge of breaking and if that happens the water will stream into our neighbourhood.’‘ Drier conditions have been forecast for the next few as many residents began the unenviable task of cleaning up the homes. An estimated months worth of rain fell in two days in what some officials have described as the worst flooding in 50 years. Up to 80 litres per square metre was recorded in some places. The severity of the situation has seen several regions put emergency plans into operation with water levels expected to peak some time on Tuesday. Despite the deaths and scale of the damage to property, the government has rejected claims it was not properly prepared for the floods..""

",
21,Belgium,"Antwerp, Dutch lowlands, Brabant province, Liege, Voeren, Wallonia, Truiden, Aarschot",36052,36054,3,1,400,,riverine flood,Heavy rain,2,,26853.61,70.5 m3/s close to  mouth of Demer,,5.20715392767036,4.98754,51.0242,,https://earth.esa.int/web/earth-watching/natural-disasters/floods/content/-/asset_publisher/zaoP2lUloYKv/content/flood-belgium-september-1998
22,Bosnia,"Central and Northern Regions: Bihac, Odzak",35328,35332,5,1,0,,riverine flood,Heavy Rain,2,,24391.06,,,5.38723067453052,17.0015,44.4291,Worst flooding in decades.  Damage to multiple bridges.,
23,Bosnia and Herzegovina,,40351,40355,5,46,0,,riverine flood,Heavy Rain,1,,28641.6,,,5.1559672795557,17.705,43.9872,"June 23, 2010: Persistent rainfall has led to flooding throughout various regions in Bosnia and Herzegovina (BiH) , as rivers and streams are unable to accommodate the unseasonably wet conditions.Some communities have declared a state of emergency, and major transportation arteries have been cut due to flooding or landslides brought about by the abundant rains, reported the Sarajevo daily 'Dnevni Avaz' on Tuesday.According to the Federation Civil Protection Administration, five municipalities in the Tuzla region (in north-eastern BiH) have declared a state of emergency, with almost half the territory of Gradacac under water.Flooding has been declared in towns on the Sava River, with an estimated 100 dwellings threatened by the rising water level in Brcko. The Bosna River spilled over its banks and has flooded much of the town of Modrica, also leading to evacuations.One section of the major highway leading from Tuzla to the Croatian border in the north has been washed out.Milorad Dodik, prime minister of Republika Srpska, the Serb- dominated entity of BiH, stated that initial damage he observed was likely to exceed 50 million Euros, reported the Radio Television Republika Srpska (RTRS).""This is really a significant disaster,"" said Dodik after visiting the most vulnerable communities around the capital Banja Luka. ""From the helicopter we saw that the highway Banja Luka - Celinac was cut in three places. At the confluence of the Vrbas and Vrbanja (rivers) the water is backing up and the rain continues to fall..this situation is extremely worrying.""More rainfalls have been forecast for the next few days""


",
24,Bosnia and Herzogovina,0,39845,39860,16,0,0,,riverine flood,Heavy Rain,1,,167873.59,,,6.42910236063178,-62.618,-18.7599,"Feb. 15: ""-  Heavy rains in February have affected 10,000 families across the country. 20 districts of the city of Santa Cruz were flooded on the 13 Feb.""",
25,Bosnia-Hercegovenia,Northern part of Bosnia and Herzegovina,40001,40009,9,0,0,,riverine flood,Heavy Rain,1,,6060.99,,,4.73678607690942,17.4846,44.8711,"17-Jul-09: ""Flood,Bosnia-Hercegovenia: Heavy rainfall on 5-12 July has caused flooding in Tesanj municipality in the northern part of Bosnia and Herzegovina destroying the food reserves and damaging the houses of local communities.
",
26,Bosnia-Herzegovina,"Northwest and central Bosnia - Travnik (Nova Bila, Turbe). Vitez, Bugojno, Jajce, Gornji Vakuf, and Donji Vakuf. municipalitites: Srbac, Jezero, Sipovo, Sanski Most, Bihac, Kljuc, Travnik. Hrvatska Kostajnica.
Croatia - Lipik, Pakrac.
Western Romania - Mures and Crisu valleys.",38089,38109,21,0,1200,15200000,riverine flood,Heavy rain,1,,104997.2,,,6.34339701246326,17.7749,44.8661,"Bosnia - 5,000 homes flooded, hundreds of families evacuated. Several villages cut off. 10,000 hectares of land and 10 villages inundated in Srbac municipality. Highest levels on Sana river in 15 years. $15.2 million agricultural damage.
MODIS observations: Flooding on the Sava river on April 16, 21, 23, 28, May 2. Sava river floods largely receded by May 11.
Flooding along the Mures and Crisu rivers on April 9, 15, 16, 20. Flooding no longer visible in Romania after April 21.",
27,Bosnia-Herzegovina,"Central Bosnia - Bugojno, Gonji Vakuf, Jajce. Ravno. Popovo polje",38069,38080,12,0,0,,riverine flood,Heavy rain,1,,47165.16,,,5.75280255809702,18.0251,45.289,"1,000 houses flooded in Bugojno. 200 hectares agricultural land destroyed in Popovo polje.
""This has been caused partly by the rainfall and partly by the release of huge quantities of water from the Bilecko and Gorica reservoirs""
MODIS observation of flooding along the Sava river on March 29, April 3.",
28,Bulgaria,Northern Greece and along the country's northeastern borders with Turkey; Bulgaria,41977,41987,11,40,1000,,riverine flood,Heavy Rain,1.5,,147616.57,,,6.38661905411054,27.7106,41.4579,"December 12, 2014: ""After heavy rain and flooding first struck over 1 week ago in northern and southern Bulgaria, the flood threat still remains across wide areas of southern Bulgaria.The same severe weather has been causing flooding in parts of northern Greece, where 5 people have died, and also in northern Turkey, in particular the city of Edirne.BulgariaThe provinces of Stara Zagora, Sliven, Haskovo, Pazardzhik, Plovdiv and Yambol are the worst affected. A state of emergency has been declared in municipalities in Stara Zagora and Plovdiv provinces. To make matters worse, flooding has interrupted the water supply in the municipalities of Svilengrad, Harmanli and Lyubimets in Haskovo province.Several houses in the village of Galabovo in Stara Zagora have been damaged by the flood water of the overflowing Sazlijka River. Levels of the river are extremely high in the area due to a controlled dam discharge.In other areas, residents of towns and villages can only hope river embankments and dams hold out. Several dams across the region are overflowing and levels of the Sazlyjka, Potoka and Maritsa rivers are ominously high.YambolIn Yambol province, the Kirilovo dam is threatening to overflow and flood the nearby town of Elhovo.Stara ZagoraIn Stara Zagora, dams threaten to inundate the towns or villages of Nikolaevo, Radnevo and Kazanlak. A road between Stara Zagora and Kazanlak has been closed due to flooding near the village of Yagoda situated near the Tundzha river. A state of emergency in the municipalities of Radnevo, Galabovo, Maglizh and Nikolaevo.HaskovoIn Haskovo Province, the town of Lyubimets which lies near to the Turkish border, is said to be flooded. Also near the Turkish border, the town of Svilengrad is facing severe floods as levels of the Martitsa river approach flood stage.PazardzhikFurther upstream, levels of the Maritsa are threatening to overflow in 6 municipalities of Pazardzhik Province.
PlovdivMeanwhile in Plovdiv Province, the Potoka river has burst its banks and flooded parts of Saedinenie. Several dams are also said to be close to overflowing in the region.Focus News Agency said:“A State of emergency has been declared in Saedinenie Municipality over the complicated situation caused by heavy precipitation,” said Mayor of the municipality Georgi Rumenov.The measure was needed after 4 dams in the region began to overflow and the Potoka River that passes through the town started to rise. A high number of houses have now been flooded. A crisis staff in the municipality is monitoring the situationDecember 11, 2014:  ""Flooding after heavy rain drowns 2 in GreeceTHESSALONIKI, Greece (AP) -- Two men have drowned in northern Greece, bringing the death toll from severe flooding to four since the weekend.Authorities say one local resident was found dead Thursday in a swollen river in the Philadelpheia area, some 30 kilometers northwest of Thessaloniki.Another man drowned when the taxi he was riding in was swept away by a torrent near the town of Kilkis, 50 kilometers (30 miles) north of Thessaloniki. The taxi driver escaped unharmed.Two more deaths were attributed to flooding earlier in the week. Protracted, heavy rainfall this week has caused severe problems in northern Greece and along the country's northeastern borders with Turkey.""...Greek news agencies are reporting that a further 2 people have died in floods in the country.The fatalities occurred in Thessaloniki and Kilkis, Central Macedonia, northern Greece. One of the victims was a man in his 40s who was found in the overflowing Galikos river in the Thessaloniki region. The other victims was reportedly a passenger who died in a taxi that had crashed into a swollen irrigation canal. The driver of the taxi managed to escape the vehicle....(from the Flood List""  December 8, 2014: ""The situation remains adverse in all parts of Bulgaria that have suffered from the torrential rains in the last days. The Ministry of Environment and Water warned on Sunday that the levels of Maritsa river, in its middle and lower course, and that of river Tundzha are to remain high until December 12. Streets and ground floors of residential buildings have been flooded in the town of Yambol, private NOVA television station reports. The situation is worst in the town of Elhovo, where the level of river Tundzha reached a record level of 4.26 metres on Sunday afternoon. The industrial zone, several streets and houses along the river were flooded, with boats becoming the main means of transport. Several citizens of Elhovo protested that the discharge of the nearby Zhrebchevo dam coincided with the heavy rainfalls. Despite this, evacuation in Elhovo was not necessary. Although electricity in the region of Galabovo was restored on Saturday, street lighting had to be switched off, as the flooded substation was working to its limits, Focus news agency reported."" December 5, 2014: ""100s Evacuated after Floods in Southern BulgariaDECEMBER 5, 2014 BY RICHARD DAVIES IN EUROPE, NEWS  · 0 COMMENT 159580The heavy rain affecting parts of Italy earlier this week moved eastwards to drench several areas of Bulgaria yesterday.Flooding has been reported in the north west and south east of the country, affecting the provinces of Vidin, Burgas, Yambol, Haskovo and Sliven. Sofia news agency Novinite reported today that several rivers and dams had overflowed, including the Ticha dam in Shumen province in the north east.In Yambol, south east Bulgaria, around 100 people had to be evacuated after flooding in the Straldzha area. Also in Yambol, levels of the Tundzha River were dangerously high in Elhovo municipality, threatening the homes of around 200 people.Elsewhere in the south, floods have affected the municipalities of Topolovgrad, Simeonovgrad and Dimitrovgrad in Haskovo province. In the north west of the county, in Vidin province, around 30 villages were left without power or drinking water after a storm.",
29,Bulgaria,"Region of Burgas, Bulgaria",41887,41890,4,3,0,,riverine flood,Torrential Rain,1,,7804.96,,,4.49443067299625,27.4879,42.6219,"September 7, 2014: ""Evacuation in the region of Burgas, Bulgaria, September 6. Photo by BGNES.
The current situation in the country poses no risk to people's lives and health, head of Bulgaria's Chief Directorate Fire Safety Nikolay Nikolov told Nova Tv, following the floods which claimed 3 lives, Saturday.

According to Nikolov, however, the situation with the people who were evacuated and accommodated in crisis centers is still grave - there is no food, water, convenience goods, medical supplies, Darik news reports.

""This is our main task today - to take care of those people. Everything else comes next – the drainage works, the inspections of houses and infrastructure, the state aid,"" Nikolov said. He noted that the critical sections and reservoirs are being monitored and there is currently no need for new evacuations.

""We continue to monitor the Maritsa River, but there is a substantial margin to the critical point,"" Nikolov said yet confirming that the river level increased last night""...""Floods kill 3 in southeastern Bulgaria Saturday
English.news.cn   2014-09-06 22:36:43     More  
SOFIA, Sept. 6 (Xinhua) -- Floods caused by heavy rains killed at least three people and broke bridges and dams in southeastern Bulgaria on Saturday morning, officials said.

Two victims, women at 69 and 21 years respectively, were drowned in their cars when a huge amount of water flooded the road from Burgas to Sozopol, Burgas municipality said on its website.

Rescue teams found the third victim of the floods, a 27-year-old man, in a caravan near the nearby village of New Panicharevo, the Ministry of Interior said in a press release.

Water also broke two bridges over Ropotamo River and the wall of a dam near Dimitrovgrad, flooded Primorsko airport, and dragged into the sea 50 boats from the fishing village south of Burgas.

On June 20, downpour-triggered floods killed 12 people in the Black Sea Port of Varna, and in late April, a swollen river swept away a car with a four-member family on board in southeastern Bulgaria.""",
30,Bulgaria,"Eastern Bulgaria; Varna district of Asparuhov; Varna, Dobrich and Veliko Tarnovo",41809,41815,7,12,2000,,riverine flood,Torrential Rain,2,,24415.42,,,5.53379223520207,27.0426,42.9445,"June 24, 2014: llegal logging accounts for 1/3 of the wood produced in the region of the flood-stricken Varna district of Asparuhovo, according to Agriculture Minister Dimitar Grekov.The Bulgarian Black Sea city of Varna reported a death toll of 12 and massive damage to the infrastructure and housing after heavy rain and severe flooding on Thursday.Speaking Tuesday in an interview for private TV station bTV, he informed 30% of a total of 1500 cubic meters of wood produced in the period 2010 – 2014 had been cut down without a permit.Grekov insisted that the amount of 1500 cubic meters of wood concerned a mere 3% of the forest areas and could not have caused the massive flooding which hit the Asparuhovo district on Thursday.He also pointed out that penalty statements had been issued for the illegal felling in the area and a number of people had been convicted.Bulgaria's Agriculture Minister, as cited by dnevnik.bg, stressed that the share of illegal felling was dropping and assured that the authorities were exercising stringent oversight.As regards the overall risk of flooding, Grekov said that dams across the country were filled to 70% of their capacity, with 30% free capacity.He made clear that controlled releases of flows from dams were being carried out where necessary.
Grekov said that the state-owned company Irrigation Systems, a structure of the Agriculture Ministry, was in charge of 190 dams across the country, of which only one was overflowing, the Pchelina dam, where repair works of facilities were underway""...June 24, 2014: ""The damages from the floods that hit Bulgaria's Veliko Tarnovo, Kilifarevo, Debelets and the nearby villages have been estimated at more than BGN 10M.This amount includes damages to the infrastructure, people's homes, the Kilifarevski monastery, the Pass of the Republic and agricultural lands.""These are the initial estimates. When we have the analysis of the commissions assessing the damage, which I expect to happen by the end of the day, we will announce the exact amount,"" the mayor of the municipality Daniel Panov said, as reported by Darik news.The cleaning of the bridge in the Pass of the Republic, as well as the disinfection of the flooded houses and streets begins on Tuesday.Daniel Panov has again urged residents of the municipality who are able to donate to do so. The flood victims need packaged foods such as rice, flour, pasta, as well as bedding, mattresses, household appliances, furniture. The donations can be made at three points in Veliko Tarnovo which will be open as of today.""June 23, 2014: ""The municipal administration of the flood-stricken city of Varna is calling for volunteers to continue clearing of the area during the workweek.""Due to the start of the workweek, the number of volunteers involved in the cleaning of the Asparuhovo district has dropped dramatically,"" the municipal press center says.The city district, which suffered extensive damages in the floods last Thursday, still needs people to help in the cleanup operations after the tragedy, the message on the official Varna Municipality website reads.Varna Municipality asks citizens who are able and willing to engage in the reconstruction works in the area to turn to the district administration office in Asparuhovo.The Municipal Crisis Staff has also reported a shortage of sunscreen, hats, shovels and boots"" ""June 23, 2014: ""une 23 has been declared a national day of mourning in Bulgaria for the victims of the floods in the Black Sea city of Varna and in Dobrich.National flags at all public institutions will fly at half-mast. All celebrations and public events are canceled.President Rosen Plevneliev will attend a prayer for the dead held in the Dormition of the Mother of God Cathedral in Varna, Monday. The official ceremony of mourning will be led by Varna and Veliki Preslav Metropolitan Yoan.A number of official memorial services will be held countrywide.The torrential rains on Thursday and Friday caused extreme floods in three Bulgarian regions – Varna, Dobrich and Veliko Tarnovo. The disaster claimed 11 lives in Varna's Asparuhovo district, two of the victims were children. One person died in Dobrich."" June 20, 2014: ""n Bulgaria, at least 14 people have reportedly died after torrential rains and floods hit the east of the country.A state of emergency has been declared in the port city of Varna, the scene of some of the worst destruction.Many drivers has to be rescued after sudden flash floods swept their cars away.Hundreds of locals have been left without electricity.Yanko Gospodinov, 65, has been living in Varna since 1971.“The floods have caused a lot of damage that will be difficult to repair…I don’t know where all this water has come from. It’s terrifying,” he said.In the centre of Bulgaria, rescue teams said many houses were flooded. Roads and footpaths remain covered in mud, rocks and branches.“Everywhere here was in water up to my waist. I was rescuing my animals one by one. Rabbits and a chicken died. I saved the goat and a little lamb. There are about 25 tonnes of water in the basement,” said Ivan Marinov, from Kilifarevo village.Bridges in many areas have been damaged and roads ripped apart.As the extreme weather is set to continue, many rivers are close to bursting their banks.",
